"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-08-26","passed","2026-08-26","","test_markers","",""
"","1874","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","1518","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","2647","Edit course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","1235","Navigation from login page to registration page","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","2847","User login with correct email and password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","0","test_regression","tests.pytest","2026-08-26","passed","2026-08-26","","test_markers","",""
"","1443","Check displaying of empty courses list","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","1352","Check displaying of dashboard page","LMS system","2026-08-26","passed","2026-08-26","Dashboard","Dashboard","",""
"","1361","Registration with correct email, username and password","LMS system","2026-08-26","passed","2026-08-26","Registration","Authentication","",""
"","1549","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","2327","Create course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
