"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3560","User login with correct email and password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","3525","Create course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","0","test_regression","tests.pytest","2026-08-26","passed","2026-08-26","","test_markers","",""
"","1929","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","1709","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","1859","User login with email or password","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","1639","Check displaying of empty courses list","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","1879","Registration with correct email, username and password","LMS system","2026-08-26","passed","2026-08-26","Registration","Authentication","",""
"","3869","Edit course","LMS system","2026-08-26","passed","2026-08-26","Courses","Courses","",""
"","1617","Navigation from login page to registration page","LMS system","2026-08-26","passed","2026-08-26","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-26","passed","2026-08-26","","test_markers","",""
"","1836","Check displaying of dashboard page","LMS system","2026-08-26","passed","2026-08-26","Dashboard","Dashboard","",""
