"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","3649","Edit course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","3659","User login with correct email and password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1870","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1707","Navigation from login page to registration page","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1858","Check displaying of dashboard page","LMS system","2026-08-16","passed","2026-08-16","Dashboard","Dashboard","",""
"","1731","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1943","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1698","Check displaying of empty courses list","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","3294","Create course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","1855","Registration with correct email, username and password","LMS system","2026-08-16","passed","2026-08-16","Registration","Authentication","",""
