"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_regression","tests.pytest","2026-08-19","passed","2026-08-19","","test_markers","",""
"","1681","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","1442","Navigation from login page to registration page","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","1563","Registration with correct email, username and password","LMS system","2026-08-19","passed","2026-08-19","Registration","Authentication","",""
"","1675","Check displaying of dashboard page","LMS system","2026-08-19","passed","2026-08-19","Dashboard","Dashboard","",""
"","1529","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","3011","Edit course","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","2026-08-19","passed","2026-08-19","","test_markers","",""
"","1392","Check displaying of empty courses list","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","2902","Create course","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","1470","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","2802","User login with correct email and password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
