"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2590","User login with correct email and password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","1333","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","2638","Create course","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","1426","Check displaying of empty courses list","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","1598","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-19","passed","2026-08-19","","test_markers","",""
"","1439","User login with email or password","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","1543","Registration with correct email, username and password","LMS system","2026-08-19","passed","2026-08-19","Registration","Authentication","",""
"","3477","Edit course","LMS system","2026-08-19","passed","2026-08-19","Courses","Courses","",""
"","1731","Navigation from login page to registration page","LMS system","2026-08-19","passed","2026-08-19","Authorization","Authentication","",""
"","1701","Check displaying of dashboard page","LMS system","2026-08-19","passed","2026-08-19","Dashboard","Dashboard","",""
"","0","test_regression","tests.pytest","2026-08-19","passed","2026-08-19","","test_markers","",""
