"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3778","Edit course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","1785","Check displaying of dashboard page","LMS system","2026-08-16","passed","2026-08-16","Dashboard","Dashboard","",""
"","1901","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","3497","User login with correct email and password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1870","Registration with correct email, username and password","LMS system","2026-08-16","passed","2026-08-16","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","1784","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","3380","Create course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","0","test_regression","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","1650","Check displaying of empty courses list","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","1703","Navigation from login page to registration page","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1871","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
