"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1638","Check displaying of empty courses list","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","1760","Navigation from login page to registration page","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","2018","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","1762","Registration with correct email, username and password","LMS system","2026-08-16","passed","2026-08-16","Registration","Authentication","",""
"","1817","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","0","test_regression","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-08-16","passed","2026-08-16","","test_markers","",""
"","1922","Check displaying of dashboard page","LMS system","2026-08-16","passed","2026-08-16","Dashboard","Dashboard","",""
"","4185","Edit course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","3755","Create course","LMS system","2026-08-16","passed","2026-08-16","Courses","Courses","",""
"","1786","User login with email or password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
"","3507","User login with correct email and password","LMS system","2026-08-16","passed","2026-08-16","Authorization","Authentication","",""
